Line no. 	 Token no. 		 Token 		 Lexeme

      1		       0		 Keyword	 include
      1		       1		 Keyword	   stdio
      1		       2		 Keyword	       h
      2		       3		 Keyword	    void
      2		       4		 Keyword	    main
      2		       5		 Special symbol	       )
      3		       6		 Special symbol	       {
      4		       7		 Keyword	  printf
      4		       8		 Keyword	   Hello
      4		       9		 Keyword	   World
      4		      10		 Special symbol	       )
      4		      11		 Special symbol	       ;
      5		      12		 Special symbol	       }
